features,weights
KARMA tool,1
Wholesaler Management,1
Manage assigned wholesalers,1
planning meetings for wholesalers,1
Manage orders and inventory,1
relationships with wholesalers customers,1
Execute sales and marketing activities ,1
Establish wholesaler expectations for National Accounts,1
Sales Administration,1
